Unique name,Company Name,Founding Year,Founder(s),Industry/Niche,Headquarters Location,Initial Funding (M$),Total Funding (M$),Annual Revenue (M$),Break-even Status,Profit Margin %,CAC (M$),LTV (M$),Marketing Spend %,Customer Growth %,Social Engagement %,NPS Score,Web Traffic (M),Repeat Purchase %,Monetization Strategy,Key Innovations,Pivot Moments,Community Initiatives,Brand Storytelling,Major PR Issues,Metrics Before/After Crisis,Response Strategies
Investment,Zerodha,2010,"Nithin Kamath, Nikhil Kamath",Stock Brokerage,Bengaluru,0,0,863.1,Achieved,25%,0.5,2.5,5%,45%,15%,75,10,85,Discount brokerage,"Zero brokerage, Kite, Coin",2017: Launch of Coin,"Varsity, Trading Q&A","Authenticity, financial education",None major,Stable growth,Conservative & proactive
Investment,Upstox,2009,"Ravi Kumar, Shrini Viswanath",Stock Brokerage,Mumbai,4,29,116.9,Not Achieved,12%,1.2,1.8,15%,35%,25%,65,5,60,Low-cost brokerage,Simplified mobile platform,Major mobile revamp 2019,Youth-oriented campaigns,Digital first tone,Tech glitches in 2021,"Customer drop 15%, bad reviews",Infrastructure upgrades
Investment,5Paisa Capital Ltd,2016,Prakarsh Gagdani,Stock Brokerage,Mumbai,0,0,52.2,Achieved,8%,1.5,1.2,20%,25%,10%,45,2,40,Freemium + brokerage,Flat-fee model,Digital pivot 2018,Referral programs,Minimal focus,Low adoption post-IPO,Flat growth,"Product revamp, pricing change"
Investment,TradeSmart Online,2013,Vikas Singhania,Stock Brokerage,Mumbai,0,0,0,Not Achieved,5%,2,0.8,15%,10%,5%,30,1,25,Flat fee brokerage,No frills platform,N/A,None evident,Minimal,Poor UX feedback,Low traffic,Product refresh attempt
Investment,SAMCO Securities,2015,Jimeet Modi,Stock Brokerage,Mumbai,0,0,0,Not Achieved,6%,1.8,1,18%,15%,8%,35,1,30,Subscription + Brokerage,Stock rating engine,None major,Webinars,Attempted storytelling,Low traction,Low MAU,Increased education focus
Investment,FYERS,2015,Tejas Khoday,Stock Brokerage,Bengaluru,0,0,0,Not Achieved,4%,2.2,0.6,10%,12%,6%,25,0.5,20,Discount brokerage,Thematic investing,None,User blogs,Minimal,Low app adoption,Poor retention,Platform upgrades
Food,Blinkit (Grofers),2015,Albinder Dhindsa,Quick Commerce (Grocery Delivery),Gurugram,2,1500,240,Achieved,15%,1,3,30%,55%,40%,80,15,75,"Delivery Fees, Ads","10-min delivery, dark stores",2021 - Rebranded to Blinkit,Local seller partnerships,"Instant needs, urban convenience",2022 - Layoffs & warehouse closures,"Revenue dip 15%, stock plunge","Cost-cutting, focus on high-demand areas"
Food,PepperTap,2014,Navneet Singh,Millennial Grocery Delivery,Gurugram,1.2,51,2.8,Not Achieved,8%,1.5,1.2,45%,40%,25%,60,3,45,Commission-based,Hyperlocal focus,2015 - Expanded to 10 cities,None,Fastest grocery delivery,2016 - Cash crunch,Shutdown within 2 years,Pivoted to logistics (failed)
Food,ZopNow,2011,Mukesh Singh,Online Grocery,Bangalore,1,20,1.8,Achieved,10%,1.2,1.5,35%,20%,15%,50,2,40,Membership fees,BigBasket tie-up,2018 - Shifted to B2B,None,Convenience for bulk orders,2020 - Pivoted to B2B silently,Traffic dropped 80%,No recovery attempt
Food,MegaZop,2020,Varun Khurana,Wholesale Grocery Tech,Delhi,0.5,2,0.45,Achieved,12%,0.8,1,50%,25%,12%,55,1,35,Commission,B2B aggregator,2022 - Downsized operations,None,Cheaper than traditional wholesalers,2023 - Funding drought,Revenue fell 60%,Laid off 70% staff
Food,Jiffstore,2014,Nitin Agarwal,Hyperlocal Grocery,Mumbai,0.3,0.5,0.15,Not Achieved,5%,2,0.5,40%,8%,5%,25,0.3,20,Markup pricing,1-hour delivery,2015 - Limited to Mumbai suburbs,None,Your neighborhood kirana,2016 - Ran out of funds,Shut down abruptly,No response
Food,AHAnow,2020,Karan Chechi,Quick Commerce,Hyderabad,1,5,0.9,Achieved,10%,1,1.2,40%,20%,25%,65,2,45,Delivery fees,Drones for delivery (failed),2022 - Pivoted to essentials only,None,Hyderabad's own Blinkit,2023 - Investor pullout,Growth stalled at 10%,Reduced coverage area
Financial,Paytm,2010,Vijay Shekhar Sharma,"Digital Payments, E-commerce, Banking","Noida, India",2,3500,997.8,Not Achieved,18%,1.5,3,22%,65%,45%,75,25,70,"Merchant fees, ads, lending","QR code payments, mini-app store","To bank & IPO, 2021",Paytm for Business,"Financial inclusion, local empowerment",Stock price crash post-IPO (2021),Market cap fell ~70%,Focused on profitability and lending
Financial,CRED,2018,Kunal Shah,Fintech - Credit Card Payments & Rewards,"Bangalore, India",30,801,150,Achieved,20%,2,4,50%,75%,60%,85,8,80,"Lending, BNPL, ads","Credit rewards, community-led growth","From rewards to lending, 2021","CRED Store, CRED Club",Premium lifestyle branding,"Criticism for burn rate, 2022",Short-term user skepticism,"Transparency from founder, investor support"
